tweet_id,timestamp,rating_numerator,rating_denominator,retweet_count,favorite_count,Dog_Type,breed,confidence,name,source,jpg_url,text,url
892420643555336193,2017-08-01 16:23:56,13,10,7319,34874,,none,0.0,Phineas,Twitter for iPhone,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01 00:17:27,13,10,5466,30205,,Chihuahua,0.323581,Tilly,Twitter for iPhone,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://t.co/0Xxu71qeIV
891815181378084864,2017-07-31 00:18:03,12,10,3607,22734,,Chihuahua,0.716012,Archie,Twitter for iPhone,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30 15:58:51,13,10,7508,38142,,Labrador retriever,0.168086,Darla,Twitter for iPhone,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://t.co/tD36da7qLQ
891327558926688256,2017-07-29 16:00:24,12,10,8061,36408,,basset,0.555712,Franklin,Twitter for iPhone,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://t.co/AtUZn91f7f
891087950875897856,2017-07-29 00:08:17,13,10,2704,18375,,Chesapeake Bay retriever,0.425595,None,Twitter for iPhone,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28 16:27:12,13,10,1746,10692,,Appenzeller,0.34170300000000003,Jax,Twitter for iPhone,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl
890729181411237888,2017-07-28 00:22:40,13,10,16416,58750,,Pomeranian,0.566142,None,Twitter for iPhone,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://t.co/v0nONBcwxq
890609185150312448,2017-07-27 16:25:51,13,10,3754,25287,,Irish terrier,0.487574,Zoey,Twitter for iPhone,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26 15:59:51,14,10,6341,28840,doggo,Pembroke,0.511319,Cassie,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://t.co/t1bfwz5S2A
